   1.97293401      -1.13907397       0.00000000    
   1.97293401       1.13907397      -0.00000000    
  -0.00000000       0.00000000      0.197293401    
          10          10
   9.18367356E-02   0.00000000       0.00000000    
              (-17.595829788713488,0.0000000000000000)   1.0000000000000000     
     0     0     0  (   0.584978E-01 ,   0.786487E-02 )
     1     0     0  (  -0.541249E-02 ,   0.951110E-02 )
     2     0     0  (  -0.892997E-04 ,  -0.854214E-03 )
     3     0     0  (   0.433804E-04 ,  -0.193742E-05 )
     4     0     0  (   0.253287E-06 ,  -0.212637E-05 )
     5     0     0  (   0.319586E-06 ,   0.185352E-05 )
    -6     0     0  (   0.695485E-06 ,   0.313662E-06 )
    -5     0     0  (   0.715006E-06 ,  -0.264241E-05 )
    -4     0     0  (   0.257364E-05 ,  -0.296030E-05 )
    -3     0     0  (   0.826593E-04 ,   0.452379E-04 )
    -2     0     0  (  -0.374673E-03 ,   0.519010E-03 )
    -1     0     0  (  -0.530161E-02 ,  -0.136670E-01 )
     0     1     0  (  -0.344540E-02 ,  -0.111412E-01 )
     1     1     0  (   0.900705E-03 ,   0.166702E-03 )
     2     1     0  (  -0.548364E-04 ,   0.128518E-03 )
     3     1     0  (   0.131580E-06 ,  -0.584675E-05 )
     4     1     0  (  -0.351709E-05 ,   0.277872E-07 )
     5     1     0  (  -0.357131E-06 ,   0.865541E-06 )
    -6     1     0  (  -0.494028E-06 ,  -0.173067E-06 )
    -5     1     0  (  -0.432161E-05 ,  -0.178042E-05 )
    -4     1     0  (   0.208980E-05 ,   0.638490E-05 )
    -3     1     0  (  -0.136036E-03 ,  -0.700255E-04 )
    -2     1     0  (   0.180417E-02 ,   0.338729E-03 )
    -1     1     0  (  -0.805852E-02 ,   0.108163E-01 )
     0     2     0  (  -0.279133E-03 ,   0.753932E-03 )
     1     2     0  (  -0.487707E-04 ,  -0.146461E-03 )
     2     2     0  (   0.110969E-04 ,   0.180497E-05 )
     3     2     0  (   0.281707E-05 ,  -0.506123E-05 )
     4     2     0  (   0.152827E-06 ,  -0.208656E-07 )
    -6     2     0  (   0.184159E-06 ,  -0.122867E-05 )
    -5     2     0  (   0.336846E-05 ,   0.315528E-05 )
    -4     2     0  (   0.143473E-04 ,   0.405802E-05 )
    -3     2     0  (  -0.123529E-03 ,   0.307214E-04 )
    -2     2     0  (  -0.111371E-03 ,  -0.659562E-03 )
    -1     2     0  (   0.127653E-02 ,   0.543499E-04 )
     0     3     0  (   0.453152E-04 ,   0.187789E-04 )
     1     3     0  (  -0.207624E-06 ,   0.720967E-05 )
     2     3     0  (   0.180400E-05 ,   0.592781E-05 )
     3     3     0  (  -0.536015E-06 ,   0.766213E-07 )
    -6     3     0  (   0.473210E-07 ,  -0.287859E-07 )
    -5     3     0  (   0.372385E-05 ,  -0.241197E-05 )
    -4     3     0  (   0.303275E-05 ,  -0.761361E-05 )
    -3     3     0  (   0.725103E-04 ,  -0.141451E-04 )
    -2     3     0  (  -0.135215E-03 ,   0.928589E-04 )
    -1     3     0  (  -0.423079E-04 ,  -0.115368E-03 )
     0     4     0  (   0.668518E-06 ,   0.125844E-05 )
     1     4     0  (  -0.359166E-05 ,  -0.113248E-05 )
     2     4     0  (   0.176193E-06 ,  -0.117135E-06 )
    -6     4     0  (  -0.225635E-06 ,   0.103624E-05 )
    -5     4     0  (  -0.456523E-05 ,   0.170934E-06 )
    -4     4     0  (   0.174640E-05 ,   0.156069E-05 )
    -3     4     0  (   0.464052E-05 ,  -0.760701E-05 )
    -2     4     0  (   0.102013E-04 ,   0.251954E-06 )
    -1     4     0  (  -0.452658E-07 ,   0.790970E-05 )
     0     5     0  (   0.820051E-06 ,  -0.192267E-05 )
     1     5     0  (  -0.223411E-06 ,  -0.812442E-06 )
    -6     5     0  (  -0.482447E-06 ,   0.132280E-06 )
    -5     5     0  (   0.145380E-06 ,   0.254339E-05 )
    -4     5     0  (  -0.427374E-05 ,   0.319766E-06 )
    -3     5     0  (   0.399150E-05 ,  -0.375100E-05 )
    -2     5     0  (   0.210240E-05 ,   0.442147E-05 )
    -1     5     0  (  -0.363594E-05 ,  -0.104264E-05 )
    -5     6     0  (  -0.493451E-06 ,   0.238906E-06 )
    -4     6     0  (   0.271627E-08 ,   0.755398E-06 )
    -3     6     0  (   0.692659E-07 ,  -0.164623E-06 )
    -2     6     0  (   0.106465E-06 ,  -0.410896E-06 )
    -1     6     0  (  -0.230812E-06 ,  -0.592468E-06 )
     1    -6     0  (  -0.496565E-06 ,   0.260408E-06 )
     2    -6     0  (   0.241186E-07 ,   0.774341E-06 )
     3    -6     0  (   0.640642E-07 ,  -0.106748E-06 )
     4    -6     0  (   0.654686E-07 ,  -0.405402E-06 )
     5    -6     0  (  -0.221096E-06 ,  -0.566923E-06 )
     0    -5     0  (   0.134573E-06 ,   0.253401E-05 )
     1    -5     0  (  -0.418693E-05 ,   0.442730E-06 )
     2    -5     0  (   0.400665E-05 ,  -0.373968E-05 )
     3    -5     0  (   0.209169E-05 ,   0.443317E-05 )
     4    -5     0  (  -0.375629E-05 ,  -0.956022E-06 )
     5    -5     0  (   0.833437E-06 ,  -0.194824E-05 )
     6    -5     0  (  -0.240890E-06 ,  -0.767796E-06 )
    -1    -5     0  (  -0.464606E-06 ,   0.168919E-06 )
     0    -4     0  (   0.164118E-05 ,   0.163455E-05 )
     1    -4     0  (   0.455285E-05 ,  -0.734368E-05 )
     2    -4     0  (   0.102719E-04 ,  -0.581181E-06 )
     3    -4     0  (  -0.374502E-07 ,   0.824363E-05 )
     4    -4     0  (   0.812420E-06 ,   0.130635E-05 )
     5    -4     0  (  -0.374031E-05 ,  -0.104000E-05 )
     6    -4     0  (   0.125528E-06 ,  -0.129017E-06 )
    -2    -4     0  (  -0.211791E-06 ,   0.104875E-05 )
    -1    -4     0  (  -0.444854E-05 ,   0.270580E-06 )
     0    -3     0  (   0.724552E-04 ,  -0.150778E-04 )
     1    -3     0  (  -0.131292E-03 ,   0.948796E-04 )
     2    -3     0  (  -0.463841E-04 ,  -0.113295E-03 )
     3    -3     0  (   0.456079E-04 ,   0.176625E-04 )
     4    -3     0  (  -0.176966E-07 ,   0.772239E-05 )
     5    -3     0  (   0.190240E-05 ,   0.585292E-05 )
     6    -3     0  (  -0.415567E-06 ,   0.126747E-06 )
    -3    -3     0  (  -0.645302E-07 ,  -0.111325E-07 )
    -2    -3     0  (   0.362434E-05 ,  -0.243207E-05 )
    -1    -3     0  (   0.286444E-05 ,  -0.723896E-05 )
     0    -2     0  (  -0.134227E-03 ,  -0.673344E-03 )
     1    -2     0  (   0.127931E-02 ,   0.501459E-04 )
     2    -2     0  (  -0.260345E-03 ,   0.744268E-03 )
     3    -2     0  (  -0.519407E-04 ,  -0.144932E-03 )
     4    -2     0  (   0.107231E-04 ,   0.143054E-05 )
     5    -2     0  (   0.292577E-05 ,  -0.500164E-05 )
     6    -2     0  (   0.150201E-06 ,  -0.349561E-08 )
    -4    -2     0  (   0.203046E-06 ,  -0.124014E-05 )
    -3    -2     0  (   0.327996E-05 ,   0.321415E-05 )
    -2    -2     0  (   0.145365E-04 ,   0.345311E-05 )
    -1    -2     0  (  -0.119904E-03 ,   0.336905E-04 )
     0    -1     0  (  -0.790516E-02 ,   0.109025E-01 )
     1    -1     0  (  -0.359171E-02 ,  -0.110808E-01 )
     2    -1     0  (   0.903032E-03 ,   0.164543E-03 )
     3    -1     0  (  -0.546420E-04 ,   0.128666E-03 )
     4    -1     0  (   0.266366E-06 ,  -0.598113E-05 )
     5    -1     0  (  -0.354408E-05 ,   0.235319E-07 )
     6    -1     0  (  -0.368966E-06 ,   0.839452E-06 )
    -5    -1     0  (  -0.480400E-06 ,  -0.185260E-06 )
    -4    -1     0  (  -0.430016E-05 ,  -0.178960E-05 )
    -3    -1     0  (   0.190197E-05 ,   0.634370E-05 )
    -2    -1     0  (  -0.136399E-03 ,  -0.702262E-04 )
    -1    -1     0  (   0.180490E-02 ,   0.335685E-03 )
     0     0     1  (  -0.562728E-01 ,  -0.759474E-02 )
     1     0     1  (   0.519098E-02 ,  -0.919145E-02 )
     2     0     1  (   0.806648E-04 ,   0.828632E-03 )
     3     0     1  (  -0.409757E-04 ,   0.220907E-05 )
     4     0     1  (  -0.265260E-06 ,   0.214530E-05 )
     5     0     1  (  -0.285088E-06 ,  -0.178313E-05 )
    -6     0     1  (  -0.659047E-06 ,  -0.306555E-06 )
    -5     0     1  (  -0.670880E-06 ,   0.259376E-05 )
    -4     0     1  (  -0.254340E-05 ,   0.309623E-05 )
    -3     0     1  (  -0.818770E-04 ,  -0.451401E-04 )
    -2     0     1  (   0.361502E-03 ,  -0.500162E-03 )
    -1     0     1  (   0.510566E-02 ,   0.131994E-01 )
     0     1     1  (   0.328600E-02 ,   0.107622E-01 )
     1     1     1  (  -0.850985E-03 ,  -0.162941E-03 )
     2     1     1  (   0.520959E-04 ,  -0.123937E-03 )
     3     1     1  (  -0.350857E-06 ,   0.544917E-05 )
     4     1     1  (   0.337930E-05 ,  -0.495971E-07 )
     5     1     1  (   0.346932E-06 ,  -0.857027E-06 )
    -6     1     1  (   0.487160E-06 ,   0.160906E-06 )
    -5     1     1  (   0.417523E-05 ,   0.175575E-05 )
    -4     1     1  (  -0.191437E-05 ,  -0.643809E-05 )
    -3     1     1  (   0.133730E-03 ,   0.689705E-04 )
    -2     1     1  (  -0.174620E-02 ,  -0.335478E-03 )
    -1     1     1  (   0.779295E-02 ,  -0.104299E-01 )
     0     2     1  (   0.267064E-03 ,  -0.730337E-03 )
     1     2     1  (   0.460295E-04 ,   0.142100E-03 )
     2     2     1  (  -0.103420E-04 ,  -0.184124E-05 )
     3     2     1  (  -0.272207E-05 ,   0.497369E-05 )
     4     2     1  (  -0.140555E-06 ,   0.373337E-07 )
    -6     2     1  (  -0.175620E-06 ,   0.121595E-05 )
    -5     2     1  (  -0.330716E-05 ,  -0.301291E-05 )
    -4     2     1  (  -0.141690E-04 ,  -0.431796E-05 )
    -3     2     1  (   0.123079E-03 ,  -0.285891E-04 )
